test_e,test_s,problems,,noun_e,noun_s,noun_e,noun_s,pronoun_e,pronoun_s,adjective_e,adjective_s,verb_e,verb_s,adverb_e,adverb_s,preposition_e,preposition_s,conjunction_e,conjunction_s,determiner_e,determiner_s,other_e,other_s,special_e,special_s
,,"på,i",,,"INDEF. SING. (DEF. SING., INDEF. PLU., DEF. PLU.)",,"INDEF. SING. (DEF. SING., INDEF. PLU., DEF. PLU.)",I,jag,,"EN/ETT/PLURAL (/DEFINITE, IF DIFFERENT FROM PLURAL)",,"PRESENT (PRETERITE/PAST, PERFECT, INFINITIVE, IMPERATIVE)",anytime / anywhere,när som helst / var som helst,on,på,and,och,,EN/ETT/PLURAL,yes,ja,decision blindness,beslutsblindhet
,,,,name,namn,DIRECTION,RIKTNING,me,mig,,"add O- to mean the opposite (e.g. vanlig = common, Ovanlig = rare)","is,are,am",är (var,keep,fortsätt,according to,enligt,or,eller,"this/these (more formal, indefinite nouns)","denna, detta, dessa",no,nej,thing combining both physical and digital presence,"digifysisk____ (e.g. digifysiskvård, online+digital care)"
,,,,first name,"förnamn (förnamnet, förnamn, förnamnen)",north,norr,"my,mine",min/mitt/mina+,no (e.g. have no something),ingen/inget/inga,have,har (hade,at least,åtminstone,about,om,also,också,"this/these (less formal, definite nouns)","den här, det här, de här",OK,OKEJ,"“over-papering”, describe culture or system with excessive paperwork/bureaucracy",förpappring
,,,,surname,"efternamn (efternamnet, efternam, efternamnen)",south,söder,you/you+,du/ni,"a,an",en/ett,shall/will,ska,"only,just",bara,of,av,if,om,any/some/a few,"någon, något, några",GREETINGS,HÄLSNINGSFRASER,"""GAL-TAN Scale"", measure of where political parties stand i.e. Green-Alternative-Libertarian and Traditional-Authoritarian-Nationalist",Gal-tan-skala
,,,,self,själv,east,öst,you/you+,dig/er,the,den,can,"kan (kunde, har kunnat, att kunna, -)",both,både (och),"in i.e. how long something has been done (e.g. Hur länge har du väntat? I en timme.), see https://www.thelocal.se/20180416/learning-swedish-in-an-hour-or-on-an-hour-whats-the-difference",i,but/or rather i.e. contradictory,utan,all (of something),"all, allt, alla",HI,HEJ,"""zero waste"", lifestyle/policy of producing no waste that cannot be recycled or composted",nollavfall
,,,,sake,skull,west,väst,your,din/ditt/dina+/er/ert/era+,several,flera,may,får,either,heller,in i.e. how long to do something (e.g. Jag kan köra till Stockholm på en timme.),på,but,men,every,varje,hello (quite informal),hallå,self-suficiency,självständig
,,,,care,vård,inside,insida,he,han,much,mycket,(inte) not,inte,either,antingen,in i.e. duration before something happens (e.g. När börjar filmen? Om en timme.),om,"because (can start sentence i.e. hypothesis first, e.g. because...so)",eftersom (...så),such (of the type previously or about to be mentioned),sådan/sådant,hi (very informal),tjena/tjenare/tja,self-optimization,självoptimering
,,,,pressure,tryck,outside,utsida,him,honom,many,många,let,låta (lät,neither,varken,out,ut,because,därför att,hundreds of,hundratals,how is business?,hur går affärerna?,email,epost
,,,,trust/confidence,förtroende,"front,front page",framsida,his,hans,few,få,be,vara,neither,ingendera,inside,inuti,while,medan,thousands of,tusentals,"fine, thanks","tack, bra / bra, tack","clever,intelligent,wise",klok
,,,,concern/worry,oro,top,topp,she,hon,whole,hel/helt/hela,become,bli (blev,still e.g. still not tired,fortfarande e.g. fortfarande inte trött,outside,utanför,before (...object OR subordinate clause),no,,,so-so,så där,opinion corridor,åsiktskorridor
,,,,value,värde,middle,mitt,her,henne,favourite,favorit-,"be able to, have energy to",orkar,as,som,with,med,after,efter,,,from (place),varifrån,to howl with the wolves i.e. agreeing with the majority without critical thinking,tjuta med vargarna
,,,,importance/significance,betydelse,bottom,botten,her (possessive),hennes,giant i.e. very,"jätte- e.g. jättebra, jättestor, jättestor",have enough time to,hinner,clear,klart,without,utan,that,att,,,goodbye,hej då,only dead fish follow the stream i.e. agreeing with the majority without critical thinking,bara döda fiskar följer strömmen
,,,,song,låt,MEAL,måltid,we,vi,own,egen/eget/egna,at home,hemma,clearly,tydligt,except,utom,(not...) until ,(inte...) förran,,,see you later,vi ses,should not judge a dog by its fur i.e. do not judge a book by its cover,man ska inte döma hunden efter håren
,,,,playlist,spellista,breakfast,frukost,us,oss,nice,trevlig,must/have to,måste,a little,little,despite/in spite of/regardless of,trots,until,tills,,,talk to you soon/we'll be in touch,vi hörs,to sense owls in the marsh i.e. there might be trouble/danger ahead,ana ugglor i mossen
,,,,sound,ljud,lunch,lunch,our,vår/vårt/våra+,"fine, good, nice",fin/fint/fina,exist,finns,more,"mer, fler",by,vid,,,,,"yes, we will","ja, det gör vi",the cat knows i.e. only the devil knows / God knows,det vete katten
,,,,speed,fart,dinner,middag,they,de,excellent,utmärkt,happen,hända (hände,"else, different, other (e.g. anyone else)",annan/annat/andra (någon annan),beside/next to,bredvid,,,,,"thanks (thank you so much) (thanks, same to you i.e. if someone wishes you well)",tack (tack så mycket) (tack detsamma),there's no cow on the ice i.e. don't worry / don't worry just yet,det finns ingen ko på isen
,,,,taste/flavour,smak,supper,kvällsmat,them,dem,terrible,hemskt,there is i.e. it exists,det finns (det fanns,enough,tillräckligt (med),between,mellan,,,,,please,snälla,"don't wake a bear that is sleeping i.e. do not reignite old, forgotten arguments or grudges",man ska inte väcka den björn som sover
,,,,"goal, objective",mål,COLOR,FÄRG,their,deras,perfect,perfekt,called i.e. named,heter (hette,again,igen,through,genom,,,,,sorry/excuse me,ursäkta,"comes from the longer term funktionalism, 'functionalism' in English, referring to a specific architectural style, which follows the principle that buildings should be designed keeping only the intended function of the building in mind, https://www.thelocal.se/20200207/swedish-word-of-the-day-funkis",funkis
